,description
10793,"This is a cool cru, which shows even in this great year with its structure, austerity and steely character. It makes it old-style Chablis, with its green fruits and lively, poised freshness."
10794,"Strong minerality with crisp, clean almost mouth-puckering green fruits that show structure. It is full-bodied and rich, but also with an edge of austerity."
10795,"This is light and floral both with its aromas and its palate. In the heart of the wine is a firm, crisp mineral layer, which blends into the apple skin and caramel, vanilla flavors. Drink 2009."
10796,"The aromas are almost honeyed, the palate is poised, elegant, crisply green. Despite its youth, this blanc de blancs shows delicious white fruit and crisp green flavors. Great as an apéritif, as it develops and ages, it should also be a good food wine."
10797,"From a 6-acre parcel of grand cru vines, this blanc de blancs is still very young. Its pink grapefruit and mineral characters accent a core of lively acidity. It needs time, another five years at least, but is already an impressive wine."
10798,"From the ripe, open 1995 vintage, this is a round wine with flavors of lemons, grapefruits and almonds. The angles of acidity have been turned into curves as it develops and softens. This is ready to drink now, but should age well over 5–10 years."
10799,"A blend from a number of premier cru vineyards, pulling together cooler and warmer sites in balance. It's fresh and light, showing elegance, green fruits and a floral character. Just a touch of minerality."
10800,"The Caudalies vintage comes from old vines—at least 50 years old. This 1999 is creamy, rich, very soft. It has apricots, ripe fruits, very open, generous and deliciously ready to drink."
10801,"Like all the Gimonnet wines, this is very dry, relying for its richness on the ripe Chardonnay (much of it grand cru from Cramant). This is crisp and clean, with pink grapefruit flavors that give it a lift and liveliness, and a fresh green aftertaste."
10802,"This blanc de blancs from biodynamic grower Pierre Larmandier  is bone dry, packed with delicious white fruit flavors, very crisp, but also full and rich. There is a great mineral edge to it, which shows how well it will age, but enjoy it now as well."
10803,"This is certainly Chardonnay, full of green apple and white fruit creaminess that is still suspended in acidity and needs time to soften and open. Lovely flavors of spiced pears give the wine a great future."
10804,"It must be the older vines, but compared to the simpler version of this wine, this has a firm structure of apple skins that goes well with the clean taste, the mouth-wateringly fresh acidity and green plum fruits."
10805,"A concentrated wine, just beginning to open up, with a serious, maybe austere mineral element, as well as vibrant kiwi and citrus flavors. It is softened by aging in older wood, giving some roundness to finish."
10806,"With superripe fruit, fat and glossy, with rich white fruits, round, dense and concentrated, this is a wine to ooze into the glass. It is perhaps not very Chablis, but delicious as a fine Chardonnay."
10807,"The extra amount of clay in the soil of this vineyard lends weight, richness and roundness. At the same time, it has fresh lime, an open character and a soft structure."
10808,"While the Amour de Deutz, the other blanc de blancs from Deutz is very much in the apéritif style, this blanc de blancs is more of a food wine. It has structure, lemon zest, peaches and other white fruits and a touch of honey. Already somewhat evolved, but still fresh."
10809,"Unusual in the Philipponnat range (normally dominated by Pinot Noir), this blanc de blancs is a blend of Chardonnays from the Côte des Blancs and from the Montagne de Reims. It is lightly toasty, dry and fresh with a creamy texture and white fruit flavors. It's ready to drink, very light, poised and crisp."
10810,"From a vineyard run on biodynamic principles, this wine boasts good, fresh fruit, with great green, crisp acidity and green plum intensity. It's very lively and fresh, but full-bodied."
10811,"A richly soft, creamy wine, dominated by flavors of white currants and chives, this is full-bodied and still young. There is enough ripe acidity and full-flavored fruit to see it develop well over five years."
10812,"For a Petit Chablis, this is serious and complex, with delicious ripe green and yellow fruits; there is a touch of caramel with toast just at the edge."
10813,"A ripe, soft wine, one that's creamy on the palate. There is just a touch of caramel, but the main flavors are of crystallized lemons, pears and honey. This is delicious, fresh, and a great aperitif wine."
10814,"A lively, crisp blanc de blancs that comes from Chouilly in the Côtes des Blancs. It is green, flavored with cinnamon, baked apples along with some good, steely fruit."
10815,"Named after the river that flows past Chablis, this is a ripe, fruity wine, with yellow fruit flavors and good ripeness. Unoaked, it has good concentration as well as richness."
10816,"The name “Not so little” is a joking reference to its appellation. This is a pleasure, a delicious unoaked Chardonnay with green fruits, a touch of caramel and kiwi fruit flavors."
10817,"Toasty aromas are the first hints that this is now a mature wine. Its layers of acidity mingle with toast, walnuts and rich, mature fruit. Definitely a wine for those who prefer their bubblies with some age."
10818,"If a Faiveley Burgundy could ever be accused of having a slightly New World style, this would be the one. It shows classic Burgundian notes of toasted nuts and a lovely mealy texture, but also great generosity of fruit, ranging from pear and apple to honey and melon. Drink now–2010."
10819,"Full, in a rich style, this is a ripe wine packed with juicy green fruits. There are pears, ripe apple skins and a good citrus edge. A fresh, easily drinkable wine."
10820,"A ripe, crisp, very fresh Chablis bursting with green fruits, with a light layer of caramel and green herbs. Delicious now."
10821,"This single-vineyard blanc de blancs premier cru is, curiously, more mature than the 1997 version of the same wine. It is ripe, open, generous, with perfumed cantaloupe and just a hint of structure. Drink now, it is delicious."
10822,"This is fresh and lively with great citrus flavors and a firm structure. On the dry side, it shows crispness, apple-skin flavors and a light, poised, elegant character. Will age over the mid term."
10823,"Floral and fresh, this is very much in the light Delamotte style. White fruits dominate the palate. Balanced and poised overall."
10824,"A fresh, simple wine, all crisp green fruit with ripe apples and a touch of grapefruit. Delicious; drink now. Screwcap."
10825,"Lively and fresh, this shows all the crispness of young, unwooded Chardonnay, touched with vanilla and simple green fruits. Drink now."
10826,"Intended as a vintage to be drunk young, this is a skilful blend of different fresh, relatively light Chardonnays. It is crisp, a great apéritif wine, although with its particularly tiny bubbles, it is also good as a food wine."
10827,"Notes of toast and smoky quartz show on the nose, then add pear and apple flavors on the palate. From a Faiveley monopole in Mercurey, this shows a fair amount of minerality on the finish and a plump palate presence. Drink now and over the next few years."
10828,"No, not the goddess: Venus is the name of the horse that plows the Agrapart vineyards. This wine, labeled “nature”—without dosage—is all green apples and very dry. It's distinctive, but many would find it too distinctive because of its rather lean edge, and very acidic aftertaste."
10829,"A soft, very open, lightweight wine, that has some richness along with its white fruits. It tastes sweet, from what appears to be a relatively high dosage."
10830,"A simple, fresh wine, with flavors of crisp, green apples and a touch of pear. It is light, poised, clean and ready to drink."
10831,"A soft, ripe, creamy wine that works because of its fine balance between soft fruit flavors and a line of acidity. There is some intensity of flavor from the old-vine fruits. Enjoy over the next two or three years."
10832,"A delicious apéritif style of Champagne, with nutty aromas, crisp, creamy fruit, and a delicate aftertaste. It should age attractively, over the next five years."
10833,"White fruits, almonds and soft, crisp acidity are the hallmarks of this lightweight, fresh wine."
10834,"Somewhat earthy and rustic, this is a fresh wine, with citrus notes and some yeastiness. The wine's fruit has finishing liveliness and crispness."
10835,"With vineyards in the Côte des Bar, in the south of Champagne, the Moutard-Diligent family can trace its origins in the region back to the 17th century. This is a soft wine, a blanc de blancs (although only the back label indicates this). It is very ripe and creamy, benefiting from the warm conditions of the 1999 harvest, and just showing a touch of acidity to finish."
10836,"This still white wine from the Champagne region is produced from one parcel of old Chardonnay vines. With spicy wood aromas, and dominant wood flavors, the actual taste of the fruit is hard to discern. There's intense acidity. A curiosity, and a reminder that Champagne is better sparkling."
10837,"A very soft wine, dominated by a creamy character and fresh acidity. Very lively, very light, great as an apéritif."
10838,"A soft, smooth, apples-and-cream-flavored wine, shot with acidity and some green fruit. It's a light wine, very crisp and clean, better with food than as an apéritif."
10839,"Plump and honeyed, this is a solid offering from a region in which Faiveley can't fall back on its vineyards. Pear, apple and honey flavors finish soft, with gentle chalky nuances. Drink now."
10840,"The latest release from Salon, this just explodes in the mouth with mineral, steel and flint. The tiny mousse has flavors of yeast and just a touch of toast. It is rich, but so austere and structured. Like many Salon Champagnes, this will age for 20 years or more."
10841,"While the Larmandier's main vineyard is in Vertus, they also have a parcel in the grand cru vineyard of Cramant. It is full of beautifully ripe fruit, beginning to round out as it ages. Green fruits and white pears, as well as yeast are still dominant; drink 2010."
10842,"Although this is marked nonvintage, the fruit all comes from 2004. It is made from old vines, giving richness and ripeness, and a generous white fruit character which fully compensates for the very dry nature of the wine. It's delicious, a complex wine of intense character."
10843,"Based mainly on vines in Le Mesnil-sur-Oger, this impressive wine is superbly rich with just the merest hint of age. With its lively mousse, secondary aromas of mocha and flavors of green apples, it is a wine that should develop magnificently over the next 4–5 years."
10844,"Made entirely from grand cru grapes, this is a beautiful wine, layering toast and ripe fruit with a proper minerality from the year. Flavors of honey, toast and nougat soften the aftertaste. It is ready to drink now, but it has still a ways to go, as the intense concentration of fruit opens out."
10845,"Named not after the goddess of love, but the horse that Agrapart uses to plough the vines, this superb wine comes from 50-year-old vines, the clay   element in the soil giving richness, the minerality giving balance, lifting up the yellow fruit flavors with excellent acidity."
10846,"Disgorged in 2006, this wine (and it is a wine, almost more than a Champagne) is young, dry and touched with green plums, secondary flavors of toast and yeast, as well as an white flower perfume."
10847,"The 1996 vintage really brings out the minerality in a wine. This grand cru is still austere, very crisp, with some smokiness, apple-skin flavors and intense freshness. Give it another 5–6 years."
10848,"From 90-year-old vines in Le Mesnil-sur-Oger, this is a superbly ripe wine, full-bodied, concentrated with a great swathe of minerality going through. This is still young, based on the 2004 vintage, but shows every sign of developing into a beautifully toasty maturity."
10849,"The fact that this wine comes from the chalkiest of soils and is bone dry gives it considerable austerity. It is definitely mineral in taste and texture, with a touch of salt and grapefruit flavors;  very structured and tight. It needs to age."
10850,"Ripe grapefruit, green plums and other green stone fruits all show that this wine has some weight, allied with a steely interior. Still young, it fills the mouth with yeast and some toast, but more of an intense freshness."
10851,"With its highly mineral aroma, this is almost like smelling chalk. It's an austere wine, with high acidity, crystal clear on the palate, full of grapefruit flavors and flint texture. Age this wine at least 4 years."
10852,"Wood maturation gives this wine roundness, despite its dryness. At the moment, it is too young, very vigorous, and touched by caramel. The feeling is of a weighty, structured wine, even though the aftertaste is fresh."
10853,"This is part of a range which returns to origins, with wood fermentation for the wines. Perfumed, green initially and then showing flavors of lychees and earthiness, this has some oak toast, but more of an open flavor from light (and pleasing) oxidation."
10854,"Still very young, this wine needs time to develop its intense minerality. Now it is more about grapefruit and yeast, although it is also full-bodied, a sign of the 1999 vintage. Wait five years at least."
10855,"With its yeasty aromas and fresh, crisp acidity, this is a young-tasting Champagne. There are flavors of green apples, just a hint of toast and a dry aftertaste from the low dosage."
10856,"This comes from high up in the Chevalier-Montrachet vineyard, from vines surrounding a small workers shed, the “cabotte.” It is the better of the two bottlings from this vineyard by Bouchard, although “better” here is like differentiating between two stars on top form. It has great poise, so although the richness is there, it is shot through with acidity and citric flavors that underline the huge, ripe fruit. Age for 10 years for best results."
10857,"As Anne-Claude Leflaive describes it, this wine is all about the complexity of the vineyard's soil. There is minerality and finesse from the chalk, which gives a structure. And at the same time the ripe fruit seems opulent, with vanilla and spice flavors adding something exotic. Age this wine for at least 5 years."
10858,"A fine wine that offers power, generosity and also a chalky, mineral character. No wonder Montrachet is seen as the greatest grand cru—it has structure, concentration, delicious fruit and layers of complexity. It also needs to age. To drink this wine now would be more than a shame."
10859,"This is a beautifully shaped wine that rises from a quiet opening. Muted and slightly closed up at this stage, it opens opulently but with balanced acidity and crispness, as well as richness and restrained power."
10860,"A wine of promise, but still in its infancy. This grand cru, structured and still waiting to open to its full opulence, is packed with concentrated flavors. It's a powerhouse that needs at least five years to even begin to show its structure, ripe fruit and richness."
10861,"This wine is deceptive. At first smell and taste, it doesn't show much—its spice and green-fruit aromas are not at all obvious. It's when you roll it around your mouth, that all the layers of flavor emerge. It is powerful, rounded, but with a fine line of minerality that holds the whole wine on a knife edge. The wood is beautifully judged, the fruit just beginning to develop secondary aromas. Hold for several years."
10862,"The richness of this wine envelops you from the start. It is all about opulence, but it's balanced with layers of ripe fruit and wood. At this stage in its long life, this wine from a fine white wine vintage is still dominated by fruit. The secondary flavors will start to show in 3–4 years time. A powerful wine that does not lose sight of a potential partnership with food."
10863,"From grand cru vines in Avize, Oger, Cramant and Oiry, this is full and intensely flavored, with very crisp apple and white pear flavors. To finish, the wine rounds out with vanilla and smooth textures."
10864,"This emblematic cuvée from Mumm (known for many years as Crémant de Cramant because it was bottled at a slightly lower pressure) is a celebration of grand cru Chardonnay in Cramant. It is a finely structured, relatively full-bodied wine, showing toast and butter flavors along with the pink grapefruit and crisp apple tastes."
10865,"It's not so much the fruit but the richness and concentration that mark this wine. Yet it's not superripe because of the hot 2003 vintage. This wine, with its origins in biodynamically grown grapes, preserves a great purity of fruit as it layers intense almond and citrus flavors over vanilla and yellow fruit tastes. It should age well."
10866,"Mineral and structured, this is a wine that is very linear and almost austere. There is elegance, fruit and wood along with a hint of ripe plums and peaches. But always that minerality, that steely character, which promise long aging."
10867,"This is the one grand cru that is entirely in Chassagne-Montrachet. It's a tiny patch of land (4.13 acres) making wines that are more delicate than the others. With its fine, fresh flavors so light to the taste, this is a wine that floats on the palate with a smooth, silky texture. Wood and white peaches contribute but do not dominate."
10868,"The most well known of Puligny's premier cru vineyards, Les Combettes is at the very heart of the slope. This central position shows in this dense and concentrated wine that's big, powerful and marked by fresh fruit-salad flavors of green figs, green apple and spice. The whole is borne up by a fine, solid structure of wood and tannins."
10869,"This is the smallest of the grand crus of Puligny-Montrachet, a mere 8.6 acres. This wine shows the vineyard's typical elegance, with delicious flavors of pears,  almonds and vanilla, hovering on the palate for minutes, leaving a dancing freshness."
10870,"The pinnacle of the white wines from Roux Père et Fils, this is  properly opulent, gorgeously rich, spicy and full of quince and lychee flavors, along with a discrete layer of new wood. Its complexity pays due respect to the quality of the vineyard. Keep for many years."
10871,"Rich and ample, this is an impressive wine. The fruit and wood flavors work together to give a feeling of seriousness and great ageability. With its spice, toast notes and dark-hued structure, this will age well over the next five to 10 years."
10872,"Relatively closed up at this stage, not giving much, this wine is all about freshness, poised but rich fruit and a structure that suggests long-term development. The wood is quite prominent, overshadowing what will be delicious yellow-fruit flavors. Come back to this wine in five years—it will be magnificent."
10873,"Bâtard-Montrachet is the largest of the white grand crus, yielding archetypal fat, open, generous white Burgundies. Louis Jadot's wine does not disappoint. It's a powerfully ripe, opulent wine that's generous and packed with delicious fruit balanced with a judicious touch of wood."
10874,"Relatively tight and closed up at this stage, this wine is all about freshness, poised but rich fruit and a structure that suggests long-term development. The wood is quite prominent, overshadowing what will be delicious yellow-fruit flavors. Come back to this wine in 5 years time—it will be magnificent."
10875,"While the wood aromas dominate, on the palate, there is a much richer, rounder character. This wine, with its huge fruit, white peach flavors, layers of wood and citrus, is just waiting to burst out of its youth. Delicious ripeness and acidity lend balance, while the oak needs some time to calm down and mature."
10876,"An intense, complex wine that flows unctuously with rich white fruits, spice, vanilla, some toast and a great depth of flavor. At this stage, the toast is quite dominant, but the rich fruit is on its way up. Like many great white Burgundies, this wine needs to be opened well in advance of drinking."
10877,"Like many wines from Lafon, this is initially deceptive. It bursts open in the mouth, like a fruit bomb. But watch for the structure as well, because this is a wine that will age. Keep for at least 5 years."
10878,"A structured wine that is going to need 4 or 5 years to really open up. Already there is power and intense green-fruit flavors, but at the moment new-wood flavors are dominant. Don't drink now."
10879,"Blending grapes from two vineyards—Les Case-Têtes (broken heads, so called from the steepness of the slope) and Les Murgers de Monthelie—Patrick Javillier has created a big, bold, ripe wine that keeps a mineral, crisp center. The toast from 11 months in wood is beginning to calm down, and this will age magnificently."
10880,"Full, but structured, this is a wine that shows a serious side to Meursault. It layers fine stone-fruit flavors with crisp apple skins and some fresh toast and butter. It should improve over 5 years."
10881,"This delicious, crisp wine reveals the more delicate side of Chardonnay. Coming from one of the high vineyards in La Grande Montagne of Chassagne, it has pure, elegant freshness, supplemented by a touch of vanilla."
10882,"Very intense, very nervy wine, living on a thin wire of grapefruit and other citrus flavors but much more about pure structure. The aftertaste shows great concentration."
10883,"This is full, perhaps heavy, but certainly with a fine, powerful character. The acidity and the green-apple texture are at one with the white-fruit flavors, which gives extra richness to the wine. Just a hint of mineral can be detected."
10884,"Toasty, floral and full-bodied, with a soft aftertaste, this has a great aromatic swathe initially, with only hints of Chardonnay minerality. The wine is delicious, with ripe white fruits and light acidity to finish."
10885,"Made from 60-year-old vines, evidenced by its concentration and serious ageability. It is structured, firm and relatively dry at this young stage. It's a wine that needs at least 5 years. Today, if you do open a bottle, watch for the mineral, stony character that pushes the fruit and demands attention."
10886,"The reputation of Les Combettes for charm is borne out by this deliciously ripe wine. It has layers of fresh fruit flavors, a touch of spice from the wood, and a long aftertaste. And, for the future, the acidity and the underlying structure promise at least 5 years of evolution."
10887,"You can almost taste the stones that give this vineyard its name. This is a mineral, firm, tight wine that demands time to develop. The fruit is there, with flavors of white currants, but wait for this wine—at least four years."
10888,"A crisp, steely, minerally wine that's packed with fruit that is poised to come out over the next few years. It is firm, taut and on a tight rein at this stage. Oak gives a spicy element. Keep for at least three years."
10889,"An intense, well-balanced wine with deliciously ripe yet lively green-fruit flavors. The wood is integrated, providing a cushioning richness to what is already a delicious wine. Girardin owns 3.7 acres in Les Folatières."
10890,"The complexities of Burgundy! This is the vineyard next to the more familiar Les Charmes, just up the slope—hence dessus, meaning above. This vineyard gives a mineral character, hinting at Chablis, but with some Meursault richness as well. Hold this wine, with its delicious vanilla flavors, and it will be ready in a year."
10891,"Full-bodied, big-hearted, ripe and joyful, this is a welcoming, enticing wine. Flavors of green plums, nutmeg and fresh citrus are part of the pleasure. But so are the open, generous, almost opulent flavors."
10892,"A ripe, open, generous wine, the opulent side of white Burgundy. This wine revels in its fruit, full flavors and touch of wood. This wine opens well and is ready to drink now, but should age over 4–5 years."
10893,"It's not a bad name for this vineyard—Charmes. This wine, which expresses the nature of the vineyard, is certainly approachable, friendly almost. But there's also a steel fist there that demands time. And if you can't wait, it's a great wine to drink now."
10894,"New-wood aromas, plenty of spice and yellow fruits, but also a beautifully-shaped wine. It's complex yet generous, ripe yet elegant. For village Meursault, this is excellent."
10895,"Pierre Morey also runs a small negociant business, Morey Blanc, specializing in whites from Meursault. This is one of the wines, a delicious, fresh, crisp wine that's packed with light, airy flavors of green apples and citrus."
10896,"There are at least four vineyards in Meursault called Charmes. Wines called Les Charmes can use fruit from both Les Charmes Dessus (above) and Les Charmes Dessous (below). This wine from René Monnier shows round, luscious fruit flavors balanced with some spicy toast and richness. The wine is ready to drink."
10897,"Coming from the largest of the Puligny premier crus, this is a big, bold, ripe wine.  Still structured at this young stage, but generous and packed with green plum and lime flavors. The wood gives tannins but doesn't dominate."
10898,"This wine is beginning to get some age to it, but remains fresh. There is some toast, even coffee, while the aftertaste is soft and slightly candied."
10899,"The softness of the 1999 vintage is very apparent in this approachable wine. It is full, round, only just touched by minerality, white fruits and some almonds giving weight and character."
10900,"A good wine, this is a young, aromatic Chardonnay with lively white fruits bursting from the acidity."
10901,"In the fat, buttery style of white Burgundy, this wine, with its malolactic flavors and its vanilla flavors, would appeal immediately to California Chardonnay lovers. Except that it also has elegance: a hint of steel and a touch of acidity to temper the tropical fruits."
10902,"From the Bouchard domaine, this wine is soft and ripe. There is some structure and firm acidity, but that's secondary to the luscious flavors that roll around the mouth. The wood broadens but also gives extra complexity to the wine."
10903,"Chenevottes is situated high up on the Chassagne-Montrachet slope, above the grand cru vineyards. With its fat, ripe butter and coconut milk character, this wine offers an immediately appealing style. But there is a hint of ageability in its layers of serious wood and structure."
10904,"A wine that caresses the palate with initial silky, ripe-fruit flavors and then comes on with structure and acidity. The wood shows through but certainly doesn't dominate. A wine that has power, but also great charm."
10905,"Rich and spiced with wood flavors, this is a rounded, powerful wine. The flavors suggest kiwis and pears leading to vanilla and caramel. It is developing well and is ready to drink."
10906,"Still tasting young, and not yet showing all its power, this is still an impressive wine. It is firm and structured, with citrus and mineral flavors dominating the concentrated fruit. The wood shows through via a warm spiciness. This will certainly age for 5 years or more."
10907,"This shows the more racy, fresh side of Meursault. It's a wine that dances and jumps around the mouth. Light but still full of delicious green fruits. The wood is there, but it's such a delicate touch."
10908,"A lively, almost racy wine that has delicious ripe fruit, lovely fresh acidity, lemon and green-apple flavors and an appealing layer of new wood. Chardonnay lovers, this is for you."
10909,"Ripe and at the same time structured, this wine is as broad as its palate is long. It envelops the mouth with nutmeg and almonds as well as white fruits and ripe acidity. It's delicious now, but there's structure to allow it a few years aging."
10910,"Big, intense and ripe, this wine has great flavors of ripe apples, almonds and honey from the malolactic fermentation. It is poised, elegant and powerful—a balance that is the best of many worlds. From the Roux domaine, it is finely crafted and likely to age for many years."
10911,"Perhaps the best-known of the Chassagne-Montrachet premier crus, Morgeot is a wine that delights the taste buds. Moreau's example has enticing flowery aromas, ripe red apple and fresh almond flavors, and a friendly, open character that is tempered with some fresh acidity."
10912,"Like so many Drouhin wines, this is beautifully balanced. The wood, green fruit, spice and acidity already in fine harmony. There is a richness coming from the deep soils of the vineyard. Can it age? Probably, because of the firm structure."
10913,"With its sandstone soil, the Abbaye de Morgeot vineyard is equally suited to Pinot Noir as to Chardonnay. But it is able to produce fresh, fruity wines, like this one. A spice and citric blend dances on the palate."
10914,"Producing some of the more refined wines of Meursault, Charmes also has the right amount of opulence. Louis Latour's wine brings out all the richness and ripeness; soft, generous and full-bodied and leavened with spicy wood flavors."
10915,"Perrières is often described as the greatest of the premier crus of Meursault. Wines like this certainly need aging, with their structure overlying the typical opulence of Meursault. It's possible to enjoy this now, but it would be worth waiting 3–4 years at least."
10916,"Leflaive owns a small parcel of vines in the Clos Saint-Marc and also buys grapes from neighbors. The wine is ripe, but still has restraint, with flavors of green plums and a touch of spice. A firm structure promises aging, and there's a delicious fresh zing to the finish."
10917,"More steely than some Meursault, this layers wood and mineral flavors with a fine structure and tastes of apple skins and nutmeg. This wine could age 3–4 years, but it is already delicious."
10918,"More toast than fruit even at this young stage, this is a ripe wine, showing big woody, toasty flavors that leave freshness behind. There are flavors of cream, caramel and wood here. Acidity appears on the finish."
10919,"Elegance is the hallmark of this wine, which flows round the mouth with generous flavors but still leaves a fresh, crisp aftertaste. Green apples, spice and wood all balance well."
10920,"Blagny is a small hamlet just up the hill from Les Perrières. This is a cooler spot, and the wine shows this with its structure and flavors of fresh green fruits over generous portions of wood. A wine that should age for more than 5 years."
10921,"From the domaine of Pierre Morey, who is also cellarmaster at Domaine Leflaive. Like at Leflaive, he works his vines biodynamically. This is a layered wine; the pure, crisp fruit partnering with light toast flavors and a poised and structured apple-skin aftertaste."
10922,"Ripe, open and packed with melon and tropical fruit flavors, this wine is already showing enticing drinkability. Its fresh, ripe fruits is layered with some mineral character and an under-cushion of wood."
10923,"Lacking intensity, the nose exhibits mild notes of ripe red apple while the palate adds a touch of canteloupe. Fat and round with a fleeting finish, the wine never really makes a strong impression."
10924,"Shows remarkable minerality and restraint for a 2003, with a nuanced nose of crushed stone and smoke, then delivers rich, enveloping flavors of honey, minerals and tree fruits. Tremendous length on the mouthcoating finish is its final indication of quality. Imported by Dreyfus, Ashby & Co."
10925,"Tasted twice, two months apart. This wine was fabulous on both occasions, combining the fat, fleshy ripeness and honeyed fruit of the vintage with the minerality of its grand cru site. Smoke, citrus and toasted nuts round out the flavors, which finish long and complex. Delicious now, but should hold several years at least. Imported by Vintus LLC."
10926,"Richly honeyed on the nose, with layers of mineral that lure you in. Tastes like honey-drizzled wet riverstones with a squeeze of citrus—mouthfilling yet precise. Long and intense on the finish. Imported by Monsieur Henri Wine Co."
10927,"Rich and ripe, with buttery, toasty aromas that are also reminiscent of bacon fat. Full-bodied, with ample apple and citrus fruit flavors that come to a climax in the long, hazelnut-tinged finish. Lovely, but with its rather low acidity, it looks to be a Burgundy to drink rather than to cellar. Imported by Vintus LLC."
10928,"Starts off with some forceful charred aromas and some rustic, unintegrated notes on the finish, but give this wine some time to settle down and it shines. Grilled peaches and roasted cashews mingle easily with mineral notes, and what the finish lacks in finesse at this stage it makes up in power. Better in 2008. Imported by Vintus LLC."
10929,"The dominant pear and melon notes actually come across as a bit austere despite the wine not being hugely mineral upfront. Where this wine shows its pedigree is on the long finish, which picks up anise and flint notes and a rich, plush texture. Imported by Monsieur Henri Wine Co."
10930,"This mouthfilling Chard adds hints of honey and acacia blossom to luscious aromas of toasted nuts and citrus. Honey, nuts, mineral and citrus notes mingle easily on the palate, while the finish picks up hints of oaky spice and orange peel. Low acid ity suggests early consumption; drink now–2010. Imported by Dreyfus, Ashby & Co."
10931,"Flinty yet honeyed at the same time, this full-bodied wine delivers concentrated flavors of pear, melon, dried spices and honey. Easy enough to drink now, yet should hold for at least five years despite relatively low acids. Long and silky-textured on the finish. Imported by Monsieur Henri Wine Co."
10932,"Excellent quality for a villages wine, with layers of peaches and tropical fruit over a core of mineral and spice. Full-bodied and harmonious, with a long finish that echoes with peach, mineral and oak. Drink now. Imported by Dreyfus, Ashby & Co. —J.C."
10933,"Shows more acid and minerality than many 2003s. There's apple, pear and citrus, all wrapped around a minerally core, with hints of honey and anise on the finish. Imported by Frederick Wildman & Sons, Ltd."
10934,"Intensely fruity, with layers of fresh ripe peaches and hints of grilled fruit. There are also traces of roasted nuts, vanilla and smoke, making this one pleasurable and complex experience. Nicely expansive and textured in the mouth; the only quibble is that it falls away quickly on the finish. Imported by Dreyfus, Ashby & Co."
10935,"A fresh, but full-bodied wine, which has aromas of citrus and sawn wood. It is ripe, smooth, with vanilla layers sandwiched between green fruits and white currants. This makes an attractive food wine for fish and white meat dishes."
10936,"Fruity and simple, with green apple and citrus aromas and flavors that are direct and satisfying, even if they're not particularly nuanced. Medium-weight; picks up some herbal notes on the finish."
10937,"This unoaked Chardonnay has some sligtly nutty qualities on the nose, allied to a bit of peach. It's unabashedly ripe, a bit heavy and alcholic, but at least it offers more texture than your typical Pays d'Oc Chard. Pear and spice flavors round out the package."
10938,"Supple, soft fruit gives this wine a simple easy-drinking character. It's great for apéritifs, rich enough for food and just plain enjoyable."
10939,"A good value in Chablis, this bottling from the Boisset group offers steely scents of lime and minerals to go with austere, grapefruity flavors. It's a bit plump on the midpalate, yet finishes with enough cut to merit a recommendation. Imported by Boisset America."
10940,"A slight disappointment, but still very good, with honey, smoke, caramel and peaches. It's a bit over-the-top from a house known for restraint, but the superripe fruit is backed by some dry minerality. Bold and weighty, but not that long. Imported by Dreyfus, Ashby & Co."
10941,"Seems slightly austere on the nose, with modest pear and melon fruit. But this medium-weight wine is more interesting on the palate, where it hints at honey, then flips direction and gives up gravelly stones and tough-skinned pears. Imported by Dreyfus, Ashby & Co."
10942,"Soft, light and fresh, this wine has attractive acidity as well as crisp, green flavors. There's a touch of vanilla which broadens it out. It's a solid, ready-to-drink wine."
10943,"Starts off promising, with hints of roasted nuts and grilled peaches, but seems to lose steam as it goes down. Still, the modest peach and pear flavors finish smoothly."
10944,"A hint of butteriness, grilled nuts and ripe peaches give this wine a bit of California-esque quality. It's plump and ripe in the mouth, then turns a bit tart and metallic on the finish."
10945,"The bubbles here aren't very plentiful or vigorous, but this wine offers pleasant peach, orange and toast flavors, a soft mousse and a clean, fresh finish. A decent value in bubbly, just don't expect a lot of bubble."
10946,"Decently made but modest Chardonnay, with melon flavors that turn tart and earthy, veering toward grapefruit on the finish."
10947,"Full-bodied flavors of tropical fruits give this wine richness and ripeness. It is simple, straightforward with immediately attractive depth of flavor. No complexity here."
10948,"Slightly nutty and plywoody on the nose, partially redeemed by a plump mouthfeel. Flavors tend toward unripe pear and grapefruit."
10949,"There are sweet vanilla aromas, along with aromas of green plums. This is a soft, creamy wine, with just a touch of greeness, and a full, creamy texture."
10950,"No lack of weight here, but the heaviness isn't well balanced by big fruit or crisp acids. Instead you get modest pear and peach flavors and a short finish."
10951,"Offers very soft fruit, open and rounded. There is some acidity, some flavor of melon and pears complemented with toast and an edge of citrus. The finish is lightly mineral."
10952,"A 100% Chardonnay blanc de blancs that is presented without any dosage to soften the acidity. Yet it doesn't seem to matter, because this Champagne is deliciously ripe, packed with mature fruit flavors, a touch of almonds to go with the white currant tastes and a layer of toastiness. Imported by Michael Skurnik Wines."
10953,"From five grand cru vineyards in the Côte des Blancs, this 100% Chardonnay is a great wine, with some toast and almond flavors showing good bottle age, along with freshness, finesse, ripe white fruits and a structured, lingering aftertaste. Imported by Robert Chadderdon Selections."
